Время,"Визиты"
2017-12-05,152592184
2017-12-06,148901639
2017-12-07,146509192
2017-12-08,135826382
2017-12-09,115338679
2017-12-10,129341207
2017-12-11,155784133
2017-12-12,152974847
2017-12-13,149864224
2017-12-14,146123944
2017-12-15,134505152
2017-12-16,114843160
2017-12-17,128579840
2017-12-18,153819193
2017-12-19,149206096
2017-12-20,145191616
2017-12-21,140586960
2017-12-22,128298347
2017-12-23,108110139
2017-12-24,118886415
2017-12-25,140059052
2017-12-26,133079428
2017-12-27,126577864
2017-12-28,119276018
2017-12-29,108078331
2017-12-30,94333074
2017-12-31,81509430
2018-01-01,85192024
2018-01-02,104604269
2018-01-03,108454695
2018-01-04,111958101
2018-01-05,112426106
2018-01-06,111018018
2018-01-07,113147749
2018-01-08,122781285
2018-01-09,146799208
2018-01-10,147222692
2018-01-11,146327791
2018-01-12,138031578
2018-01-13,113442724
2018-01-14,126724243
2018-01-15,153442412
2018-01-16,153453887
2018-01-17,153091760
2018-01-18,149782785
2018-01-19,139077330
2018-01-20,118925263
2018-01-21,132141465
2018-01-22,158549788
2018-01-23,156574600
2018-01-24,154475075
2018-01-25,152203483
2018-01-26,141827390
2018-01-27,119014621
2018-01-28,130034570
2018-01-29,156407554
2018-01-30,153018559
2018-01-31,149857485
2018-02-01,147569207
2018-02-02,138228031
2018-02-03,116616505
2018-02-04,128437848
2018-02-05,153552999
2018-02-06,151906111
2018-02-07,150183716
2018-02-08,147327624
2018-02-09,137942379
2018-02-10,116193873
2018-02-11,129439108
2018-02-12,154400039
2018-02-13,152943826
2018-02-14,145331814
2018-02-15,145051655
2018-02-16,136829707
2018-02-17,115808728
2018-02-18,125514221
2018-02-19,154874709
2018-02-20,152690670
2018-02-21,146937891
2018-02-22,132686359
2018-02-23,112461042
2018-02-24,118896356
2018-02-25,132729703
2018-02-26,156757175
2018-02-27,154703971
2018-02-28,151040122
2018-03-01,148538490
2018-03-02,139886213
2018-03-03,121858094
2018-03-04,136527240
2018-03-05,152867450
2018-03-06,144161609
2018-03-07,123990467
2018-03-08,105645644
2018-03-09,115531173
2018-03-10,120924211
2018-03-11,133474978
2018-03-12,156168084
2018-03-13,153168696
2018-03-14,151898025
2018-03-15,148867396
2018-03-16,139554799
2018-03-17,122174632
2018-03-18,131294932
2018-03-19,159426711
2018-03-20,154371449
2018-03-21,152518816
2018-03-22,149683410
2018-03-23,141038332
2018-03-24,118251294
2018-03-25,127173957
2018-03-26,151803676
2018-03-27,146385652
2018-03-28,142610293
2018-03-29,144303428
2018-03-30,136662883
2018-03-31,117847154
2018-04-01,126060578
2018-04-02,150353576
2018-04-03,150022341
2018-04-04,146755902
2018-04-05,139376312
2018-04-06,132557696
2018-04-07,113627847
2018-04-08,117565267
2018-04-09,148831771
2018-04-10,149291639
2018-04-11,150554870
2018-04-12,147002584
2018-04-13,134935119
2018-04-14,109746838
2018-04-15,120754874
2018-04-16,148994373
2018-04-17,145757368
2018-04-18,152850255
2018-04-19,150521386
2018-04-20,138946350
2018-04-21,115532482
2018-04-22,133596528
2018-04-23,160146791
2018-04-24,154481782
2018-04-25,150001444
2018-04-26,147353885
2018-04-27,136734931
2018-04-28,121733858
2018-04-29,102849758
2018-04-30,101368576
2018-05-01,100560901
2018-05-02,115715561
2018-05-03,141521809
2018-05-04,134384291
2018-05-05,110960218
2018-05-06,122838553
2018-05-07,147857410
2018-05-08,132716792
2018-05-09,107339879
2018-05-10,146191351
2018-05-11,134198784
2018-05-12,106249308
2018-05-13,118543701
2018-05-14,149751717
2018-05-15,147968492
2018-05-16,146886151
2018-05-17,144558142
2018-05-18,133828636
2018-05-19,109730475
2018-05-20,122927107
2018-05-21,151562933
2018-05-22,147562954
2018-05-23,141342330
2018-05-24,137565181
2018-05-25,129282272
2018-05-26,104379350
2018-05-27,113910611
2018-05-28,146481961
2018-05-29,142648160
